win,lose
1211,1209
1272,1129
1308,1163
1116,1436
1323,1104
1403,1286
1277,1172
1181,1168
1124,1313
1314,1266
1388,1231
1417,1103
1400,1439
1345,1463
1293,1362
1389,1246
1112,1460
1395,1371
1222,1412
1228,1151
1276,1161
1397,1255
1326,1260
1437,1174
1242,1411
1166,1361
1350,1234
1344,1355
1235,1261
1458,1159
1274,1425
1120,1240
0000,0000
1211,1272
1116,1308
1403,1323
1181,1277
1314,1124
1417,1388
1345,1400
1389,1293
1112,1395
1222,1228
1276,1397
1437,1326
1242,1166
1344,1350
1235,1458
1274,1120
0000,0000
1116,1211
1181,1403
1314,1417
1389,1345
1222,1112
1437,1276
1242,1344
1274,1235
0000,0000
1181,1116
1314,1389
1437,1222
1242,1274
0000,0000
1314,1181
1242,1437
0000,0000
1242,1314
